temperature,density,viscosity,thermal_conductivity,heat_of_vaporization,vapor_pressure,specific_heat
280,696.6527357,0.000478122,0.14,380388.0318,2281.160579,2164.130688
290,688.3724477,0.000430162,0.1375,374649.7894,3988.241178,2212.641937
300,679.9535589,0.000387239,0.135,368769.429,6660.286942,2260.3733
310,671.3865911,0.000349017,0.1325,362737.2872,10681.82653,2307.640977
320,662.6609753,0.000315163,0.13,356542.5884,16528.63406,2354.761168
330,653.7648695,0.000285341,0.1275,350173.2604,24772.68507,2402.050073
340,644.6849362,0.000259217,0.125,343615.7073,36084.37187,2449.823892
350,635.4060676,0.000236456,0.1225,336854.5309,51231.94777,2498.398825
360,625.9110422,0.000216725,0.12,329872.1817,71078.32987,2548.091072
370,616.1800921,0.000199688,0.1175,322648.5205,96575.51388,2599.216833
380,606.1903504,0.000185011,0.115,315160.257,128756.9406,2652.092308
390,595.9151347,0.00017236,0.1125,307380.2253,168728.203,2707.033697
400,585.3230051,0.0001614,0.11,299276.43,217656.5028,2764.3572
410,574.3765029,0.000151796,0.1075,290810.7722,276759.2558,2824.379017
420,563.0304283,0.000143215,0.105,281937.3107,347292.2258,2887.415348
430,551.2294329,0.00013532,0.1025,272599.8371,430537.5226,2953.782393
440,538.9045668,0.000127779,0.1,262728.4023,527791.7596,3023.796352
450,525.9681656,0.000120257,0.0975,252234.1855,640354.6166,3097.773425
460,512.3059957,0.000112418,0.095,241001.6305,769518.0017,3176.029812
470,497.7646283,0.000103929,0.0925,228875.8439,916555.9653,3258.881713
480,482.1299741,9.45E-05,0.09,215641.2464,1082715.472,3346.645328
490,465.0880765,8.37E-05,0.0875,200982.7556,1269208.1,3439.636857
500,446.1463358,7.12E-05,0.085,184408.2357,1477202.707,3538.1725
510,424.4525406,5.68E-05,0.0825,165071.7032,1707819.068,3642.568457
520,398.2841462,4.00E-05,0.08,141279.8759,1962122.48,3753.140928
530,362.9506167,2.06E-05,0.0775,108503.6011,2241119.287,3870.206113
